;nivel;ITTER107;Territory;Indicators;Type of accommodation;TIME;Value
0;0;IT;Italy;arrivals;total collective accommodation establishments;1990-1;1948743.0
1;0;IT;Italy;arrivals;total collective accommodation establishments;1990-2;2073904.0
2;0;IT;Italy;arrivals;total collective accommodation establishments;1990-3;2643010.0
3;0;IT;Italy;arrivals;total collective accommodation establishments;1990-4;3290894.0
4;0;IT;Italy;arrivals;total collective accommodation establishments;1990-5;2765215.0
5;0;IT;Italy;arrivals;total collective accommodation establishments;1990-6;2993632.0
6;0;IT;Italy;arrivals;total collective accommodation establishments;1990-7;3457460.0
7;0;IT;Italy;arrivals;total collective accommodation establishments;1990-8;4309957.0
8;0;IT;Italy;arrivals;total collective accommodation establishments;1990-9;3520159.0
9;0;IT;Italy;arrivals;total collective accommodation establishments;1990-10;2515097.0
10;0;IT;Italy;arrivals;total collective accommodation establishments;1990-11;2061999.0
11;0;IT;Italy;arrivals;total collective accommodation establishments;1990-12;2195248.0
12;0;IT;Italy;arrivals;total collective accommodation establishments;1991-1;2003005.0
13;0;IT;Italy;arrivals;total collective accommodation establishments;1991-2;2033860.0
14;0;IT;Italy;arrivals;total collective accommodation establishments;1991-3;2824877.0
15;0;IT;Italy;arrivals;total collective accommodation establishments;1991-4;3006379.0
16;0;IT;Italy;arrivals;total collective accommodation establishments;1991-5;2682273.0
17;0;IT;Italy;arrivals;total collective accommodation establishments;1991-6;3339229.0
18;0;IT;Italy;arrivals;total collective accommodation establishments;1991-7;3559740.0
19;0;IT;Italy;arrivals;total collective accommodation establishments;1991-8;4542200.0
20;0;IT;Italy;arrivals;total collective accommodation establishments;1991-9;3542659.0
21;0;IT;Italy;arrivals;total collective accommodation establishments;1991-10;2496974.0
22;0;IT;Italy;arrivals;total collective accommodation establishments;1991-11;2107308.0
23;0;IT;Italy;arrivals;total collective accommodation establishments;1991-12;2137140.0
24;0;IT;Italy;arrivals;total collective accommodation establishments;1992-1;2109491.0
25;0;IT;Italy;arrivals;total collective accommodation establishments;1992-2;2370465.0
26;0;IT;Italy;arrivals;total collective accommodation establishments;1992-3;2671425.0
27;0;IT;Italy;arrivals;total collective accommodation establishments;1992-4;3082566.0
28;0;IT;Italy;arrivals;total collective accommodation establishments;1992-5;3087251.0
29;0;IT;Italy;arrivals;total collective accommodation establishments;1992-6;3322460.0
30;0;IT;Italy;arrivals;total collective accommodation establishments;1992-7;3575951.0
31;0;IT;Italy;arrivals;total collective accommodation establishments;1992-8;4566220.0
32;0;IT;Italy;arrivals;total collective accommodation establishments;1992-9;3405642.0
33;0;IT;Italy;arrivals;total collective accommodation establishments;1992-10;2373736.0
